id,name
1,Artist Profile
2,Competition
3,Download
4,Feature
5,Festival Coverage
6,Gig Listing
7,Interview
8,List
9,Live Review
10,Mix
11,News
12,Photo Diary
13,Playlist
14,Podcast
15,Release Premiere
16,Release Review
17,Sessions
18,Track By Track
19,Track Premiere
20,Track Review
21,Video Premiere
22,Video Review
